Date,Open,High,Low,Close,Adj Close,Volume
2013-09-01,13.940000,17.650000,13.505000,15.390000,14.437499,45530200
2013-10-01,15.680000,18.400000,15.680000,18.125000,17.003227,46732200
2013-11-01,18.115000,18.235001,15.815000,16.590000,15.563229,29992600
2013-12-01,16.584999,18.410000,16.290001,17.219999,16.154234,45577200
2014-01-01,16.975000,17.785000,15.350000,15.645000,14.676716,40290800
2014-02-01,15.695000,17.135000,15.285000,16.795000,15.755541,30152400
2014-03-01,16.615000,20.535000,16.400000,20.514999,19.245306,71687800
2014-04-01,20.370001,20.830000,19.635000,20.025000,18.785631,45839600
2014-05-01,20.025000,23.655001,19.855000,22.514999,21.121525,57291200
2014-06-01,22.945000,24.375000,22.740000,23.410000,21.961130,36154800
2014-07-01,23.510000,24.910000,23.049999,23.700001,22.403126,36230600
2014-08-01,23.415001,25.145000,22.780001,24.844999,23.485470,32031600
2014-09-01,25.065001,25.834999,23.174999,23.290001,22.015560,36464200
2014-10-01,23.275000,26.270000,22.780001,26.215000,24.780504,34160000
2014-11-01,26.200001,27.370001,25.424999,26.645000,25.186972,35234400
2014-12-01,26.555000,26.555000,23.799999,25.375000,23.986465,34371200
2015-01-01,25.870001,31.049999,24.660000,28.490000,26.931013,47531000
2015-02-01,28.820000,31.084999,27.860001,31.004999,29.308388,68357000
2015-03-01,31.030001,31.985001,28.465000,29.445000,27.833755,44815800
2015-04-01,29.834999,30.459999,28.045000,28.420000,26.864845,38494800
2015-05-01,28.389999,29.955000,27.100000,29.809999,28.178782,28434800
2015-06-01,29.799999,30.895000,28.014999,30.264999,28.608885,36054000
2015-07-01,30.545000,32.060001,29.790001,31.235001,29.709984,33882200
2015-08-01,30.885000,32.064999,25.820000,28.495001,27.103760,33500800
2015-09-01,28.135000,30.719999,27.754999,30.545000,29.053675,36787600
2015-10-01,30.555000,32.720001,30.209999,30.570000,29.077450,35946200
2015-11-01,30.555000,31.120001,28.285000,29.059999,27.641178,25998800
2015-12-01,29.330000,30.955000,28.059999,30.799999,29.296223,28000800
2016-01-01,30.150000,30.430000,26.565001,30.165001,28.692228,30448000
2016-02-01,29.844999,30.240000,25.555000,26.410000,25.120558,32753600
2016-03-01,26.674999,30.975000,26.570000,30.815001,29.310493,32199400
2016-04-01,30.469999,32.000000,29.900000,31.434999,29.900223,26095200
2016-05-01,31.275000,32.500000,30.834999,32.180000,30.608849,26243200
2016-06-01,32.005001,33.570000,31.665001,33.174999,31.555265,28429400
2016-07-01,33.110001,34.994999,32.560001,34.634998,33.157272,18805200
2016-08-01,34.650002,36.250000,34.060001,35.825001,34.296501,28090000
2016-09-01,36.029999,37.020000,35.185001,35.945000,34.411377,29764000
2016-10-01,35.990002,36.759998,34.724998,35.389999,33.880051,21266000
2016-11-01,35.410000,35.799999,31.105000,32.259998,30.883596,40646600
2016-12-01,32.264999,32.814999,29.549999,30.340000,29.045517,38404600
2017-01-01,30.330000,34.895000,29.500000,34.465000,32.994518,41903400
2017-02-01,34.935001,36.660000,34.445000,35.845001,34.315647,31236400
2017-03-01,36.014999,37.674999,35.369999,37.610001,36.005341,34604200
2017-04-01,37.595001,40.845001,37.514999,39.805000,38.106686,31206600
2017-05-01,40.110001,43.924999,39.650002,43.900002,42.026970,30539400
2017-06-01,43.900002,44.919998,42.779999,43.485001,41.629677,36428200
2017-07-01,43.775002,48.599998,43.549999,48.389999,46.597008,20370000
2017-08-01,48.669998,49.884998,46.419998,48.715000,46.909966,28288200
2017-09-01,48.755001,50.130001,46.040001,48.185001,46.399601,21235000
2017-10-01,48.070000,49.645000,44.535000,46.150002,44.440006,34991200
2017-11-01,46.505001,49.404999,46.205002,48.549999,46.751076,17875200
2017-12-01,48.455002,50.990002,46.345001,50.834999,48.951408,21622400
2018-01-01,51.340000,55.384998,50.139999,54.294998,52.283207,27753600
2018-02-01,54.055000,55.080002,48.134998,48.590000,46.789597,26154600
2018-03-01,48.615002,50.055000,47.525002,49.384998,47.555134,29499400
2018-04-01,50.070000,50.564999,46.735001,47.904999,46.129978,35642200
2018-05-01,47.740002,53.320000,47.055000,53.209999,51.238407,43582600
2018-06-01,52.689999,53.544998,50.500000,52.509998,50.564342,23750200
2018-07-01,52.009998,56.049999,51.564999,51.669998,50.024818,26892400
2018-08-01,52.005001,52.404999,49.340000,50.634998,49.022774,31133400
2018-09-01,49.849998,49.935001,45.314999,47.049999,45.551918,31036600
2018-10-01,47.500000,47.660000,42.715000,44.455002,43.039547,41415800
2018-11-01,44.500000,51.250000,44.130001,50.709999,49.095387,31687200
2018-12-01,50.735001,52.250000,47.029999,51.794998,50.145840,34916200
2019-01-01,51.384998,52.049999,47.250000,49.110001,47.546329,30743400
2019-02-01,49.080002,51.209999,48.970001,50.560001,48.950169,23994000
2019-03-01,50.279999,57.955002,49.775002,57.955002,56.109707,29700000
2019-04-01,58.080002,58.125000,55.900002,57.325001,55.499771,24692800
2019-05-01,57.605000,62.360001,57.125000,62.080002,60.103367,32166200
2019-06-01,62.500000,65.195000,62.259998,65.019997,62.949749,26513400
2019-07-01,65.425003,65.889999,56.825001,57.490002,55.944508,35591200
2019-08-01,57.270000,58.105000,52.645000,53.900002,52.551601,41902200
2019-09-01,53.320000,59.750000,51.025002,57.049999,55.622795,55169200
2019-10-01,57.430000,61.259998,54.660000,61.090000,59.561726,39012000
2019-11-01,61.700001,63.470001,60.860001,61.750000,60.205215,23070800
