,Date,Open,High,Low,Close,Adj Close,Volume
df_7,1996-03-04,644.3699951171875,656.969970703125,627.6300048828125,633.5,633.5,2263530000
df_7,1996-03-11,633.5,644.1699829101562,628.8200073242188,641.4299926757812,641.4299926757812,2340110000
df_7,1996-03-18,641.4299926757812,656.1799926757812,641.4299926757812,650.6199951171875,650.6199951171875,1981750000
df_7,1996-03-25,650.6199951171875,655.5,644.8900146484375,645.5,645.5,1927330000
df_7,1996-04-01,645.5,656.6799926757812,645.5,655.8599853515625,655.8599853515625,1568780000
df_7,1996-04-08,655.8599853515625,655.8599853515625,624.1400146484375,636.7100219726562,636.7100219726562,2246730000
df_7,1996-04-15,636.7100219726562,647.3200073242188,636.7100219726562,645.0700073242188,645.0700073242188,2115720000
df_7,1996-04-22,645.0700073242188,656.4299926757812,645.0700073242188,653.4600219726562,653.4600219726562,2206930000
df_7,1996-04-29,653.4600219726562,656.4400024414062,640.22998046875,641.6300048828125,641.6300048828125,2019010000
df_7,1996-05-06,641.6300048828125,653.0,630.0700073242188,652.0900268554688,652.0900268554688,2114730000
df_7,1996-05-13,652.0900268554688,669.8400268554688,652.0900268554688,668.9099731445312,668.9099731445312,2123620000
df_7,1996-05-20,668.9099731445312,681.0999755859375,667.6400146484375,678.510009765625,678.510009765625,1979280000
df_7,1996-05-27,678.510009765625,679.97998046875,664.5599975585938,669.1199951171875,669.1199951171875,1421920000
df_7,1996-06-03,669.1199951171875,680.3200073242188,662.47998046875,673.3099975585938,673.3099975585938,1997520000
df_7,1996-06-10,673.3099975585938,676.719970703125,664.3499755859375,665.8499755859375,665.8499755859375,1928310000
df_7,1996-06-17,665.8499755859375,668.27001953125,658.75,666.8400268554688,666.8400268554688,2016710000
df_7,1996-06-24,666.8400268554688,672.6799926757812,661.5599975585938,670.6300048828125,670.6300048828125,1988300000
df_7,1996-07-01,670.6300048828125,675.8800048828125,657.4099731445312,657.4400024414062,657.4400024414062,1251480000
df_7,1996-07-08,657.4400024414062,657.6500244140625,639.52001953125,646.1900024414062,646.1900024414062,2106290000
df_7,1996-07-15,646.1900024414062,646.1900024414062,605.8800048828125,638.72998046875,638.72998046875,2498360000
df_7,1996-07-22,638.72998046875,638.72998046875,616.4299926757812,635.9000244140625,635.9000244140625,1967520000
df_7,1996-07-29,635.9000244140625,662.489990234375,629.219970703125,662.489990234375,662.489990234375,1907400000
df_7,1996-08-05,662.489990234375,665.3699951171875,656.8300170898438,662.0999755859375,662.0999755859375,1710720000
df_7,1996-08-12,662.0999755859375,666.3400268554688,658.469970703125,665.2100219726562,665.2100219726562,1679700000
df_7,1996-08-19,665.2100219726562,670.6799926757812,662.1599731445312,667.030029296875,667.030029296875,1640820000
df_7,1996-08-26,667.030029296875,667.4099731445312,650.52001953125,651.989990234375,651.989990234375,1467890000
df_7,1996-09-02,651.989990234375,658.2100219726562,643.969970703125,655.6799926757812,655.6799926757812,1407170000
df_7,1996-09-09,655.6799926757812,681.3900146484375,655.6799926757812,680.5399780273438,680.5399780273438,1948550000
df_7,1996-09-16,680.5399780273438,687.0700073242188,679.0599975585938,687.030029296875,687.030029296875,2194530000
df_7,1996-09-23,687.030029296875,690.8800048828125,681.010009765625,686.1900024414062,686.1900024414062,2125250000
df_7,1996-09-30,686.1900024414062,701.739990234375,684.4400024414062,701.4600219726562,701.4600219726562,2100690000
df_7,1996-10-07,701.4600219726562,705.760009765625,693.3400268554688,700.6599731445312,700.6599731445312,2015270000
df_7,1996-10-14,700.6599731445312,711.0399780273438,699.0700073242188,710.8200073242188,710.8200073242188,2173960000
df_7,1996-10-21,710.8200073242188,714.0999755859375,700.530029296875,700.9199829101562,700.9199829101562,2054200000
df_7,1996-10-28,700.9199829101562,708.5999755859375,696.219970703125,703.77001953125,703.77001953125,2213630000
df_7,1996-11-04,703.77001953125,730.8200073242188,702.8400268554688,730.8200073242188,730.8200073242188,2299900000
df_7,1996-11-11,730.8200073242188,741.9199829101562,728.030029296875,737.6199951171875,737.6199951171875,2264990000
df_7,1996-11-18,737.6199951171875,748.72998046875,734.3900146484375,748.72998046875,748.72998046875,2338040000
df_7,1996-11-25,748.72998046875,762.1199951171875,747.989990234375,757.02001953125,757.02001953125,1395410000
df_7,1996-12-02,757.02001953125,761.75,726.8900146484375,739.5999755859375,739.5999755859375,2411490000
df_7,1996-12-09,739.5999755859375,753.4299926757812,721.969970703125,728.6400146484375,728.6400146484375,2273360000
df_7,1996-12-16,728.6400146484375,755.4099731445312,716.6900024414062,748.8699951171875,748.8699951171875,2648640000
df_7,1996-12-23,748.8699951171875,758.75,743.280029296875,756.7899780273438,756.7899780273438,1016860000
df_7,1996-12-30,756.7899780273438,759.2000122070312,740.739990234375,740.739990234375,740.739990234375,738820000
df_8,2000-01-01,1469.25,1478.0,1377.6800537109375,1441.469970703125,1441.469970703125,5343800000
df_8,2000-01-08,1441.469970703125,1473.0,1427.0799560546875,1465.1500244140625,1465.1500244140625,5169700000
df_8,2000-01-15,1465.1500244140625,1465.7099609375,1438.5400390625,1441.3599853515625,1441.3599853515625,4455000000
df_8,2000-01-22,1441.3599853515625,1454.0899658203125,1356.199951171875,1360.1600341796875,1360.1600341796875,5532100000
